Annual_Income,Num_of_Loan,Num_of_Delayed_Payment,Outstanding_Debt
19114.12,4,4,809.98
19114.12,4,0,809.98
19114.12,4,8,809.98
19114.12,4,6,809.98
34847.84,1,1,605.03
34847.84,1,3,605.03
34847.84,1,1,605.03
34847.84,1,0,605.03
34847.84,1,4,605.03
34847.84,1,4,605.03
30689.89,1,6,632.46
30689.89,1,3,632.46
30689.89,1,9,632.46
30689.89,1,0,632.46
35547.71,0,0,943.86
35547.71,0,15,943.86
35547.71,0,15,943.86
73928.46,0,7,548.2
73928.46,0,7,548.2
131313.4,2,3,352.16
31370.8,2,0,421.43
31370.8,2,0,421.43
33751.27,3,20,1328.93
33751.27,3,20,1328.93
33751.27,3,22,1328.93
33751.27,3,20,1328.93
33751.27,3,20,1328.93
33751.27,3,17,1328.93
88640.24,2,0,950.36
88640.24,2,2,950.36
88640.24,2,2,950.36
88640.24,2,0,950.36
54392.16,3,8,179.22
54392.16,3,10,179.22
54392.16,3,7,179.22
54392.16,3,8,179.22
54392.16,3,8,179.22
54392.16,3,8,179.22
25546.26,5,14,758.44
25546.26,5,10,758.44
25546.26,5,14,758.44
25546.26,5,13,758.44
31993.78,2,14,818.22
31993.78,2,14,818.22
31993.78,2,14,818.22
31993.78,2,14,818.22
31993.78,2,16,818.22
92047.08,0,11,1296.64
92047.08,0,11,1296.64
92047.08,0,8,1296.64
92047.08,0,13,1296.64
92047.08,0,11,1296.64
32284.62,6,12,1283.37
32284.62,6,12,1283.37
32284.62,6,12,1283.37
32284.62,6,12,1283.37
32284.62,6,12,1283.37
32284.62,6,0,1283.37
32284.62,6,12,1283.37
97791.42,0,8,107.41
19514.88,0,12,881.4
19514.88,0,0,881.4
19514.88,0,15,881.4
12600.445,3,16,569.8
12600.445,3,19,569.8
12600.445,3,19,569.8
12600.445,3,20,569.8
12600.445,3,19,569.8
20787.69,3,14,614.6
20787.69,3,12,614.6
20787.69,3,14,614.6
43070.24,1,8,1233.1
43070.24,1,8,1233.1
43070.24,1,8,1233.1
43070.24,1,8,1233.1
43070.24,1,8,1233.1
43070.24,1,8,1233.1
28572.39,3,12,400.07
28572.39,3,13,400.07
6515990.0,3,12,400.07
20186.02,2,3,413.32
586359.0,2,7,413.32
20186.02,2,6,413.32
12986.745,2,17,1489.49
12986.745,2,20,1489.49
12986.745,2,18,1489.49
12986.745,2,17,1489.49
12986.745,2,17,1489.49
58317.0,6,20,98.97
58317.0,6,0,98.97
58317.0,6,20,98.97
58317.0,6,0,98.97
42171.98,3,10,556.91
42171.98,3,8,556.91
42171.98,3,10,556.91
42171.98,3,10,556.91
42171.98,3,10,556.91
71681.4,1,6,1293.02
71681.4,1,10,1293.02
71681.4,1,8,1293.02
71681.4,1,6,1293.02
71681.4,1,8,1293.02
66567.32,2,0,233.79
66567.32,2,12,233.79
66567.32,2,0,233.79
66567.32,2,15,233.79
66567.32,2,15,233.79
12909.895,0,14,602.5
12909.895,0,14,602.5
12909.895,0,14,602.5
12909.895,0,15,602.5
12909.895,0,16,602.5
20574.47,4,0,749.95
20574.47,4,10,749.95
20574.47,4,10,749.95
20574.47,4,7,749.95
85554.03,0,7,1095.73
85554.03,0,7,1095.73
87215.68,2,0,680.77
87215.68,2,0,680.77
2709655.0,2,0,680.77
87215.68,2,5,680.77
87215.68,2,5,680.77
95956.5,2,10,1079.73
95956.5,2,0,1079.73
95956.5,2,13,1079.73
95956.5,2,0,1079.73
95956.5,2,10,1079.73
95956.5,2,0,1079.73
123732.32,0,8,1154.46
123732.32,0,8,1154.46
123732.32,0,0,1154.46
36822.29,4,19,125.25
36822.29,4,19,125.25
36822.29,4,19,125.25
80108.31,0,16,997.28
80108.31,0,19,997.28
118248.6,0,10,191.09
118248.6,0,7,191.09
118248.6,0,10,191.09
118248.6,0,0,191.09
118248.6,0,13,191.09
30390.44,4,23,580.31
30390.44,4,18,580.31
30390.44,4,17,580.31
30390.44,4,20,580.31
30390.44,4,20,580.31
144546.72,2,0,1045.11
144546.72,2,8,1045.11
19257912.0,2,7,1045.11
30346.35,7,9,523.56
30346.35,7,9,523.56
30346.35,7,6,523.56
18681.465,2,8,327.88
18681.465,2,0,327.88
18681.465,2,8,327.88
18681.465,2,8,327.88
18681.465,2,6,327.88
72330.98,1,6,596.78
72330.98,1,6,596.78
72330.98,1,6,596.78
72330.98,1,6,596.78
34106.78,0,10,996.54
34106.78,0,10,996.54
34106.78,0,10,996.54
17001.34,1,20,1093.87
17001.34,1,0,1093.87
17001.34,1,20,1093.87
17001.34,1,18,1093.87
17001.34,1,21,1093.87
17001.34,1,20,1093.87
17787.34,2,15,730.9
17787.34,2,183,730.9
17787.34,2,16,730.9
17787.34,2,16,730.9
17787.34,2,15,730.9
103353.06,1,7,1374.56
103353.06,1,9,1374.56
103353.06,1,12,1374.56
31021.24,4,21,852.81
31021.24,4,20,852.81
31021.24,4,0,852.81
31021.24,4,20,852.81
31021.24,4,20,852.81
31021.24,4,20,852.81
134978.24,2,16,668.14
39800.12,3,0,660.69
39800.12,3,18,660.69
39800.12,3,18,660.69
39800.12,3,20,660.69
39800.12,3,18,660.69
39800.12,3,20,660.69
15398.95,4,0,343.84
15398.95,4,1,343.84
15398.95,4,0,343.84
15398.95,4,0,343.84
15398.95,4,1,343.84
27070.07,4,15,919.76
27070.07,4,15,919.76
27070.07,4,1106,919.76
27070.07,4,15,919.76
27070.07,4,13,919.76
17992.775,0,12,565.22
18305.25,0,11,363.51
18305.25,0,12,363.51
18305.25,0,0,363.51
18305.25,0,8,363.51
18305.25,0,9,363.51
27865.26,1,18,635.59
27865.26,1,18,635.59
27865.26,1,18,635.59
27865.26,1,18,635.59
27865.26,1,16,635.59
27865.26,1,18,635.59
23404.86,0,17,35.54
23404.86,0,20,35.54
23404.86,0,17,35.54
23404.86,0,16,35.54
23404.86,0,20,35.54
23404.86,0,17,35.54
43758.34,2,2,1194.28
43758.34,2,2,1194.28
43758.34,2,0,1194.28
85328.73,1,18,585.05
85328.73,1,14,585.05
85328.73,1,17,585.05
28665.76,1,10,1237.46
28665.76,1,10,1237.46
28665.76,1,11,1237.46
28665.76,1,10,1237.46
28665.76,1,12,1237.46
66528.24,0,8,1460.8
19403.405,3,11,339.11
19403.405,3,9,339.11
8908998.0,3,9,339.11
31122.79,0,20,358.6
31122.79,0,20,358.6
31122.79,0,20,358.6
31122.79,0,21,358.6
31122.79,0,20,358.6
31122.79,0,18,358.6
31122.79,0,19,358.6
15015.4,1,11,330.17
15015.4,1,0,330.17
15015.4,1,8,330.17
19777.05,3,3,186.16
19777.05,3,3,186.16
19777.05,3,0,186.16
19777.05,3,3,186.16
20188.02,3,6,399.92
20188.02,3,8,399.92
20188.02,3,3,399.92
20188.02,3,6,399.92
20188.02,3,6,399.92
9351702.0,3,6,399.92
41345.58,0,0,646.47
41345.58,0,0,646.47
30536.62,2,7,687.87
2547968.0,2,10,687.87
30536.62,2,8,687.87
147499.6,2,6,1250.67
147499.6,2,0,1250.67
147499.6,2,0,1250.67
147499.6,2,2,1250.67
80396.86,0,11,1357.54
80396.86,0,10,1357.54
80396.86,0,11,1357.54
80396.86,0,11,1357.54
94554.87,0,0,1487.9
94554.87,0,0,1487.9
94554.87,0,0,1487.9
63536.98,2,16,89.62
63536.98,2,15,89.62
63536.98,2,13,89.62
63536.98,2,16,89.62
63536.98,2,16,89.62
63536.98,2,16,89.62
27796.42,2,14,1073.94
27796.42,2,14,1073.94
27796.42,2,15,1073.94
132872.72,2,5,89.68
132872.72,2,0,89.68
132872.72,2,4,89.68
132872.72,2,5,89.68
37071.2,4,5,869.99
37071.2,4,3,869.99
37071.2,4,5,869.99
37071.2,4,5,869.99
37071.2,4,8,869.99
41735.55,4,6,1480.92
41735.55,4,6,1480.92
41735.55,4,0,1480.92
41735.55,4,5,1480.92
41735.55,4,4,1480.92
41735.55,4,4,1480.92
41735.55,4,6,1480.92
41735.55,4,7,1480.92
24585.55,2,14,195.38
24585.55,2,14,195.38
24585.55,2,0,195.38
24585.55,2,13,195.38
24585.55,2,14,195.38
24585.55,2,14,195.38
24585.55,2,14,195.38
15013.73,6,12,1403.17
15013.73,6,7,1403.17
15013.73,6,9,1403.17
15013.73,6,9,1403.17
102885.32,1,13,605.34
102885.32,1,0,605.34
102885.32,1,13,605.34
34212.01,3,9,512.38
34212.01,3,0,512.38
34212.01,3,10,512.38
34212.01,3,9,512.38
24199.24,1,14,784.35
24199.24,1,12,784.35
24199.24,1,14,784.35
28587.29,0,2,1496.38
28587.29,0,4,1496.38
28587.29,0,2,1496.38
16578.115,2,16,1054.86
